antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Storage', 'Fasteners'})",frozenset({'Binders'}),0.006469186244467144,0.2672795369424583,0.0040858018386108275,0.631578947368421,2.362990278243379,0.0023567207347951285,1.9888126854418986,0.5805631711217728
"frozenset({'Tables', 'Labels'})",frozenset({'Paper'}),0.004766768811712632,0.24412665985699694,0.0030643513789581204,0.6428571428571428,2.6332934847579197,0.001900656030644209,2.1164453524004085,0.6232181548637244
"frozenset({'Storage', 'Paper', 'Appliances'})",frozenset({'Binders'}),0.003745318352059925,0.2672795369424583,0.0030643513789581204,0.8181818181818181,3.061146496815286,0.0020633044241174523,4.029962546816478,0.6758563074352547
"frozenset({'Art', 'Furnishings', 'Appliances'})",frozenset({'Binders'}),0.0030643513789581204,0.2672795369424583,0.002723867892407218,0.8888888888888888,3.3256900212314218,0.001904829474810308,6.594484167517872,0.7014600409836066
"frozenset({'Chairs', 'Furnishings', 'Appliances'})",frozenset({'Binders'}),0.0030643513789581204,0.2672795369424583,0.002723867892407218,0.8888888888888888,3.3256900212314218,0.001904829474810308,6.594484167517872,0.7014600409836066
"frozenset({'Storage', 'Furnishings', 'Appliances'})",frozenset({'Binders'}),0.003745318352059925,0.2672795369424583,0.002723867892407218,0.7272727272727272,2.721019108280254,0.0017228209375665501,2.686641697877652,0.6348684210526315
"frozenset({'Chairs', 'Storage', 'Phones'})",frozenset({'Binders'}),0.0030643513789581204,0.2672795369424583,0.002383384405856316,0.7777777777777779,2.9099787685774947,0.0015643459882594061,3.2972420837589396,0.6583723653395784
"frozenset({'Art', 'Paper', 'Appliances'})",frozenset({'Binders'}),0.003745318352059925,0.2672795369424583,0.002383384405856316,0.6363636363636364,2.3808917197452226,0.0013823374510156482,2.0149812734082397,0.5821697099892589
"frozenset({'Tables', 'Furnishings', 'Appliances'})",frozenset({'Phones'}),0.0030643513789581204,0.16853932584269662,0.0020429009193054137,0.6666666666666667,3.955555555555556,0.0015264372037506744,2.494382022471911,0.7494877049180327
"frozenset({'Binders', 'Envelopes', 'Phones'})",frozenset({'Paper'}),0.002723867892407218,0.24412665985699694,0.0020429009193054137,0.7500000000000001,3.072175732217574,0.0013779321488403217,3.023493360572014,0.6763400477978831
"frozenset({'Tables', 'Art', 'Phones'})",frozenset({'Binders'}),0.0030643513789581204,0.2672795369424583,0.0020429009193054137,0.6666666666666667,2.4942675159235668,0.0012238625017085038,2.1981613891726255,0.600922131147541
"frozenset({'Tables', 'Binders', 'Art'})",frozenset({'Phones'}),0.002723867892407218,0.16853932584269662,0.0020429009193054137,0.7500000000000001,4.450000000000001,0.0015838220610345343,3.325842696629215,0.7773984294981222
"frozenset({'Tables', 'Phones', 'Appliances'})",frozenset({'Furnishings'}),0.002723867892407218,0.17398706162751107,0.0020429009193054137,0.7500000000000001,4.310665362035226,0.0015689831484439604,3.304051753489957,0.7701149425287356
"frozenset({'Tables', 'Binders', 'Appliances'})",frozenset({'Furnishings'}),0.002723867892407218,0.17398706162751107,0.0020429009193054137,0.7500000000000001,4.310665362035226,0.0015689831484439604,3.304051753489957,0.7701149425287356
"frozenset({'Tables', 'Furnishings', 'Appliances'})",frozenset({'Binders'}),0.0030643513789581204,0.2672795369424583,0.0020429009193054137,0.6666666666666667,2.4942675159235668,0.0012238625017085038,2.1981613891726255,0.600922131147541
"frozenset({'Chairs', 'Copiers'})",frozenset({'Paper'}),0.0020429009193054137,0.24412665985699694,0.0020429009193054137,1.0,4.096234309623431,0.0015441743414565945,inf,0.7574206755373593
"frozenset({'Chairs', 'Paper', 'Appliances'})",frozenset({'Binders'}),0.002723867892407218,0.2672795369424583,0.0020429009193054137,0.7500000000000001,2.8060509554140127,0.0013148667703303826,2.930881852230168,0.6453852281779902
"frozenset({'Chairs', 'Phones', 'Accessories'})",frozenset({'Binders'}),0.002723867892407218,0.2672795369424583,0.0020429009193054137,0.7500000000000001,2.8060509554140127,0.0013148667703303826,2.930881852230168,0.6453852281779902
"frozenset({'Art', 'Phones', 'Accessories'})",frozenset({'Binders'}),0.002723867892407218,0.2672795369424583,0.0020429009193054137,0.7500000000000001,2.8060509554140127,0.0013148667703303826,2.930881852230168,0.6453852281779902
"frozenset({'Tables', 'Paper', 'Phones'})",frozenset({'Binders'}),0.0030643513789581204,0.2672795369424583,0.0020429009193054137,0.6666666666666667,2.4942675159235668,0.0012238625017085038,2.1981613891726255,0.600922131147541
